,signalerLocation,receiverLocation,intention,signalSpace,targetDictionary,nTargets,barrier,abstractSetup,receiverIntentionDict,revTargetDict,barrierDict,recTraj,recActSeq,sigTraj,sigActSeq,predSignalNoActionUtility
0,"(4, 0)","(4, 7)",orange square,"['square', 'triangle', 'circle', 'green', 'orange', 'purple']","{(4, 2): 'purple triangle', (7, 0): 'purple circle', (6, 8): 'green square', (3, 8): 'green circle', (6, 4): 'orange square'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'square': 'green square', 'triangle': 'purple triangle', 'circle': 'green circle', 'green': 'green square', 'orange': 'orange square', 'purple': 'purple triangle'}","{'purple triangle': (4, 2), 'purple circle': (7, 0), 'green square': (6, 8), 'green circle': (3, 8), 'orange square': (6, 4)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2)], 'purple circle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (7, 0)], 'green square': [(4, 7), (4, 8), (5, 8), (6, 8)], 'green circle': [(4, 7), (3, 7), (3, 8)], 'orange square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4)]}","{'purple triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right'], 'purple circle': ['down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'down'], 'green square': ['up', 'right', 'right'], 'green circle': ['left', 'up'], 'orange square': ['left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right']}","{'purple triangle': [(4, 0), (4, 1), (4, 2)], 'purple circle': [(4, 0), (5, 0), (6, 0), (7, 0)], 'green square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8)], 'green circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8)], 'orange square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4)]}","{'purple triangle': ['up', 'up'], 'purple circle': ['right', 'right', 'right'], 'green square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'green circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'right'], 'orange square': ['up', 'up', 'up', 'up', 'right', 'right']}",do
1,"(4, 0)","(4, 7)",orange square,"['square', 'triangle', 'circle', 'green', 'orange', 'purple']","{(4, 2): 'purple triangle', (7, 0): 'purple circle', (6, 8): 'green square', (3, 8): 'green circle', (6, 4): 'orange square'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'square': 'green square', 'triangle': 'purple triangle', 'circle': 'green circle', 'green': 'green square', 'orange': 'orange square', 'purple': 'purple triangle'}","{'purple triangle': (4, 2), 'purple circle': (7, 0), 'green square': (6, 8), 'green circle': (3, 8), 'orange square': (6, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2)], 'purple circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 1), (7, 0)], 'green square': [(4, 7), (4, 8), (5, 8), (6, 8)], 'green circle': [(4, 7), (4, 8), (3, 8)], 'orange square': [(4, 7), (4, 6), (4, 5), (4, 4), (5, 4), (6, 4)]}","{'purple triangle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right'], 'purple circle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down'], 'green square': ['up', 'right', 'right'], 'green circle': ['up', 'left'], 'orange square': ['down', 'down', 'down', 'right', 'right']}","{'purple triangle': [(4, 0), (4, 1), (4, 2)], 'purple circle': [(4, 0), (5, 0), (6, 0), (7, 0)], 'green square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8)], 'green circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8)], 'orange square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4)]}","{'purple triangle': ['up', 'up'], 'purple circle': ['right', 'right', 'right'], 'green square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right'], 'green circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right'], 'orange square': ['left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right']}",orange
2,"(4, 0)","(4, 7)",green triangle,"['triangle', 'circle', 'square', 'purple', 'green', 'orange']","{(4, 2): 'orange circle', (3, 1): 'orange square', (5, 6): 'purple triangle', (4, 8): 'purple square', (4, 4): 'green triangle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'triangle': 'purple triangle', 'circle': 'orange circle', 'square': 'purple square', 'purple': 'purple triangle', 'green': 'green triangle', 'orange': 'orange square'}","{'orange circle': (4, 2), 'orange square': (3, 1), 'purple triangle': (5, 6), 'purple square': (4, 8), 'green triangle': (4, 4)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'orange circle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2)], 'orange square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1)], 'purple triangle': [(4, 7), (5, 7), (5, 6)], 'purple square': [(4, 7), (4, 8)], 'green triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (3, 4), (4, 4)]}","{'orange circle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right'], 'orange square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple triangle': ['right', 'down'], 'purple square': ['up'], 'green triangle': ['down', 'left', 'left', 'down', 'down', 'right', 'right']}","{'orange circle': [(4, 0), (4, 1), (4, 2)], 'orange square': [(4, 0), (4, 1), (3, 1)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)], 'purple square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8)], 'green triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]}","{'orange circle': ['up', 'up'], 'orange square': ['up', 'left'], 'purple triangle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'right', 'right'], 'purple square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'green triangle': ['up', 'up', 'up', 'up']}",do
3,"(4, 0)","(4, 7)",green triangle,"['triangle', 'circle', 'square', 'purple', 'green', 'orange']","{(4, 2): 'orange circle', (3, 1): 'orange square', (5, 6): 'purple triangle', (4, 8): 'purple square', (4, 4): 'green triangle'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'triangle': 'purple triangle', 'circle': 'orange circle', 'square': 'purple square', 'purple': 'purple triangle', 'green': 'green triangle', 'orange': 'orange square'}","{'orange circle': (4, 2), 'orange square': (3, 1), 'purple triangle': (5, 6), 'purple square': (4, 8), 'green triangle': (4, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'orange circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2)], 'orange square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1)], 'purple triangle': [(4, 7), (5, 7), (5, 6)], 'purple square': [(4, 7), (4, 8)], 'green triangle': [(4, 7), (4, 6), (4, 5), (4, 4)]}","{'orange circle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right'], 'orange square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple triangle': ['right', 'down'], 'purple square': ['up'], 'green triangle': ['down', 'down', 'down']}","{'orange circle': [(4, 0), (4, 1), (4, 2)], 'orange square': [(4, 0), (4, 1), (3, 1)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)], 'purple square': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8)], 'green triangle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4)]}","{'orange circle': ['up', 'up'], 'orange square': ['up', 'left'], 'purple triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right'], 'purple square': ['left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right'], 'green triangle': ['up', 'up', 'left', 'left', 'up', 'up', 'right', 'right']}",green
4,"(4, 0)","(4, 7)",purple triangle,"['purple', 'green', 'orange', 'circle', 'triangle', 'square']","{(1, 1): 'green square', (3, 0): 'orange square', (8, 6): 'purple circle', (2, 6): 'orange circle', (6, 4): 'purple triangle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple circle', 'green': 'green square', 'orange': 'orange circle', 'circle': 'purple circle', 'triangle': 'purple triangle', 'square': 'green square'}","{'green square': (1, 1), 'orange square': (3, 0), 'purple circle': (8, 6), 'orange circle': (2, 6), 'purple triangle': (6, 4)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green square': [(4, 7), (4, 6), (3, 6), (2, 6), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1)], 'orange square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0)], 'purple circle': [(4, 7), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'orange circle': [(4, 7), (4, 6), (3, 6), (2, 6)], 'purple triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4)]}","{'green square': ['down', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down'], 'orange square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'right'], 'purple circle': ['down', 'right', 'right', 'right', 'right'], 'orange circle': ['down', 'left', 'left'], 'purple triangle': ['left', 'left', 'down', 'down', 'down', 'right', 'right', 'right', 'right']}","{'green square': [(4, 0), (4, 1), (3, 1), (2, 1), (1, 1)], 'orange square': [(4, 0), (3, 0)], 'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'orange circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6)], 'purple triangle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 4), (6, 4)]}","{'green square': ['up', 'left', 'left', 'left'], 'orange square': ['left'], 'purple circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'orange circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up'], 'purple triangle': ['up', 'up', 'up', 'up', 'right', 'right']}",do
5,"(4, 0)","(4, 7)",purple triangle,"['purple', 'green', 'orange', 'circle', 'triangle', 'square']","{(1, 1): 'green square', (3, 0): 'orange square', (8, 6): 'purple circle', (2, 6): 'orange circle', (6, 4): 'purple triangle'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple circle', 'green': 'green square', 'orange': 'orange circle', 'circle': 'purple circle', 'triangle': 'purple triangle', 'square': 'green square'}","{'green square': (1, 1), 'orange square': (3, 0), 'purple circle': (8, 6), 'orange circle': (2, 6), 'purple triangle': (6, 4)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green square': [(4, 7), (3, 7), (2, 7), (1, 7), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2), (1, 1)], 'orange square': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0)], 'purple circle': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 6)], 'orange circle': [(4, 7), (3, 7), (2, 7), (2, 6)], 'purple triangle': [(4, 7), (5, 7), (6, 7), (6, 6), (6, 5), (6, 4)]}","{'green square': ['left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'orange square': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'down', 'down', 'right'], 'purple circle': ['right', 'right', 'right', 'right', 'down'], 'orange circle': ['left', 'left', 'down'], 'purple triangle': ['right', 'right', 'down', 'down', 'down']}","{'green square': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1)], 'orange square': [(4, 0), (3, 0)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)], 'orange circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6)], 'purple triangle': [(4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4)]}","{'green square': ['left', 'left', 'left', 'up'], 'orange square': ['left'], 'purple circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'orange circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up'], 'purple triangle': ['left', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right']}",triangle
6,"(4, 0)","(4, 7)",green circle,"['circle', 'triangle', 'square', 'orange', 'green', 'purple']","{(7, 0): 'purple triangle', (2, 0): 'purple square', (8, 7): 'orange circle', (7, 7): 'orange square', (4, 3): 'green circle'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'circle': 'orange circle', 'triangle': 'purple triangle', 'square': 'orange square', 'orange': 'orange circle', 'green': 'green circle', 'purple': 'purple square'}","{'purple triangle': (7, 0), 'purple square': (2, 0), 'orange circle': (8, 7), 'orange square': (7, 7), 'green circle': (4, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (7, 4), (7, 3), (7, 2), (7, 1), (7, 0)], 'purple square': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0)], 'orange circle': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'orange square': [(4, 7), (5, 7), (6, 7), (7, 7)], 'green circle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3)]}","{'purple triangle': ['down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'down'], 'purple square': ['down', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'orange circle': ['right', 'right', 'right', 'right'], 'orange square': ['right', 'right', 'right'], 'green circle': ['down', 'left', 'left', 'down', 'down', 'down', 'right', 'right']}","{'purple triangle': [(4, 0), (5, 0), (6, 0), (7, 0)], 'purple square': [(4, 0), (3, 0), (2, 0)], 'orange circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'orange square': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)], 'green circle': [(4, 0), (4, 1), (4, 2), (4, 3)]}","{'purple triangle': ['right', 'right', 'right'], 'purple square': ['left', 'left'], 'orange circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'orange square': ['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'green circle': ['up', 'up', 'up']}",do
7,"(4, 0)","(4, 7)",green circle,"['circle', 'triangle', 'square', 'orange', 'green', 'purple']","{(7, 0): 'purple triangle', (2, 0): 'purple square', (8, 7): 'orange circle', (7, 7): 'orange square', (4, 3): 'green circle'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'circle': 'orange circle', 'triangle': 'purple triangle', 'square': 'orange square', 'orange': 'orange circle', 'green': 'green circle', 'purple': 'purple square'}","{'purple triangle': (7, 0), 'purple square': (2, 0), 'orange circle': (8, 7), 'orange square': (7, 7), 'green circle': (4, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'purple triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (7, 1), (7, 0)], 'purple square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (2, 1), (2, 0)], 'orange circle': [(4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'orange square': [(4, 7), (5, 7), (6, 7), (7, 7)], 'green circle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3)]}","{'purple triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down'], 'purple square': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'down', 'down'], 'orange circle': ['right', 'right', 'right', 'right'], 'orange square': ['right', 'right', 'right'], 'green circle': ['down', 'down', 'down', 'down']}","{'purple triangle': [(4, 0), (5, 0), (6, 0), (7, 0)], 'purple square': [(4, 0), (3, 0), (2, 0)], 'orange circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)], 'orange square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)], 'green circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3)]}","{'purple triangle': ['right', 'right', 'right'], 'purple square': ['left', 'left'], 'orange circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right'], 'orange square': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right'], 'green circle': ['up', 'up', 'left', 'left', 'up', 'right', 'right']}",green
8,"(4, 0)","(4, 7)",purple square,"['purple', 'green', 'orange', 'circle', 'square', 'triangle']","{(0, 1): 'green triangle', (4, 2): 'orange triangle', (2, 5): 'purple circle', (1, 7): 'orange circle', (6, 3): 'purple square'}",5,R,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple circle', 'green': 'green triangle', 'orange': 'orange circle', 'circle': 'purple circle', 'square': 'purple square', 'triangle': 'green triangle'}","{'green triangle': (0, 1), 'orange triangle': (4, 2), 'purple circle': (2, 5), 'orange circle': (1, 7), 'purple square': (6, 3)}","{'up': '(3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5)', 'down': '(3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1)], 'orange triangle': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (3, 2), (4, 2)], 'purple circle': [(4, 7), (4, 6), (3, 6), (2, 6), (2, 5)], 'orange circle': [(4, 7), (3, 7), (2, 7), (1, 7)], 'purple square': [(4, 7), (3, 7), (2, 7), (2, 6), (2, 5), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3)]}","{'green triangle': ['left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'orange triangle': ['left', 'left', 'down', 'down', 'down', 'down', 'down', 'right', 'right'], 'purple circle': ['down', 'left', 'left', 'down'], 'orange circle': ['left', 'left', 'left'], 'purple square': ['left', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right']}","{'green triangle': [(4, 0), (3, 0), (2, 0), (1, 0), (0, 0), (0, 1)], 'orange triangle': [(4, 0), (4, 1), (4, 2)], 'purple circle': [(4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5)], 'orange circle': [(4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7)], 'purple square': [(4, 0), (5, 0), (6, 0), (6, 1), (6, 2), (6, 3)]}","{'green triangle': ['left', 'left', 'left', 'left', 'up'], 'orange triangle': ['up', 'up'], 'purple circle': ['up', 'up', 'up', 'up', 'up', 'left', 'left'], 'orange circle': ['left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up'], 'purple square': ['right', 'right', 'up', 'up', 'up']}",do
9,"(4, 0)","(4, 7)",purple square,"['purple', 'green', 'orange', 'circle', 'square', 'triangle']","{(0, 1): 'green triangle', (4, 2): 'orange triangle', (2, 5): 'purple circle', (1, 7): 'orange circle', (6, 3): 'purple square'}",5,S,"{'receiver': ['A1', 'B1'], 'signaler': ['C3', 'B3'], 'flipped': ['A2']}","{'purple': 'purple circle', 'green': 'green triangle', 'orange': 'orange circle', 'circle': 'purple circle', 'square': 'purple square', 'triangle': 'green triangle'}","{'green triangle': (0, 1), 'orange triangle': (4, 2), 'purple circle': (2, 5), 'orange circle': (1, 7), 'purple square': (6, 3)}","{'up': '(3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2)', 'down': '(3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)', 'left': '', 'right': ''}","{'green triangle': [(4, 7), (3, 7), (2, 7), (1, 7), (0, 7), (0, 6), (0, 5), (0, 4), (0, 3), (0, 2), (0, 1)], 'orange triangle': [(4, 7), (4, 6), (4, 5), (4, 4), (4, 3), (3, 3), (2, 3), (2, 2), (3, 2), (4, 2)], 'purple circle': [(4, 7), (4, 6), (4, 5), (3, 5), (2, 5)], 'orange circle': [(4, 7), (3, 7), (2, 7), (1, 7)], 'purple square': [(4, 7), (5, 7), (6, 7), (6, 6), (6, 5), (6, 4), (6, 3)]}","{'green triangle': ['left', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'down', 'down'], 'orange triangle': ['down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right'], 'purple circle': ['down', 'down', 'left', 'left'], 'orange circle': ['left', 'left', 'left'], 'purple square': ['right', 'right', 'down', 'down', 'down', 'down']}","{'green triangle': [(4, 0), (4, 1), (3, 1), (2, 1), (1, 1), (0, 1)], 'orange triangle': [(4, 0), (4, 1), (4, 2)], 'purple circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5)], 'orange circle': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (1, 7)], 'purple square': [(4, 0), (4, 1), (4, 2), (3, 2), (2, 2), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3)]}","{'green triangle': ['up', 'left', 'left', 'left', 'left'], 'orange triangle': ['up', 'up'], 'purple circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up'], 'orange circle': ['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'left'], 'purple square': ['up', 'up', 'left', 'left', 'up', 'right', 'right', 'right', 'right']}",square
